   qid    | sid  | stid | category 
----------+------+------+----------
 xDQLnwwC | 7178 |   23 | ANG
 sCctdFHQ | 7042 |   23 | other
 tWkatKgj | 7526 |   23 | HOP
 wv8E2DjU | 7624 |   23 | COM
 o2KJaZcU | 7372 |   23 | other
 wDcsWoNT | 7251 |   23 | ANG
 8td4ahBo | 7210 |   23 | other
 drZhcHPu | 7479 |   23 | NEU
 PoMqzWJC | 7094 |   23 | other
 ZhnEGjQV | 7016 |   23 | NEU
 H4GetnC5 | 7542 |   23 | other
 itSoQwtD | 6954 |   23 | HOP
 kHrUhmfW | 7220 |   23 | COM
 fywZcHPL | 7205 |   23 | other
 yFeZrNQn | 7109 |   23 | NEU
 QenW2vMJ | 6902 |   23 | other
 pqNQUKdg | 7088 |   23 | ANG
 sqbyyFhY | 6959 |   23 | other
 fg4wYCQa | 7184 |   23 | other
 dkDAefWR | 7078 |   23 | other
 vCy2Ns6X | 7651 |   23 | other
 byCfCiuQ | 7407 |   23 | NEU
 sz9RXfn3 | 7414 |   23 | NEU
 YxANJGbr | 7396 |   23 | NEU
 VZ77rS9u | 7591 |   23 | COM
 agU9ffPz | 7119 |   23 | COM
 hzE4axa7 | 7351 |   23 | other
 3aW7SFit | 7600 |   23 | NEU
 PDC5ahRn | 7393 |   23 | other
 KtNyCX5J | 7326 |   23 | other
 8g2raXFx | 7576 |   23 | NEU
 ZiyLNm4j | 7098 |   23 | HOP
 Dz5cBuJ3 | 7065 |   23 | other
 Q7oN6QEh | 6952 |   23 | other
 mmQUAzRe | 7625 |   23 | other
 MDiprAeT | 7333 |   23 | NEU
 mQzS7fV7 | 6960 |   23 | other
 eMpP8EWP | 7510 |   23 | HOP
 UtE7Za5Z | 7563 |   23 | NEU
 Y8swe8Ya | 7586 |   23 | ANG
 WyTrKBAb | 7560 |   23 | HOP
 dqt83VWU | 7076 |   23 | other
 8aBKczMP | 7079 |   23 | other
 5ZT8UNyS | 7726 |   23 | other
 x9JB2aSu | 7604 |   23 | other
 8EwQnBho | 7469 |   23 | other
 fTxjJNUy | 7421 |   23 | HOP
 igsi6vyW | 7494 |   23 | ANG
 t7rLLEKZ | 7291 |   23 | NEU
 oF4UqqZX | 7153 |   23 | HOP
 4ZVzPoA4 | 7117 |   23 | other
 bYiVwoSK | 7398 |   23 | other
 r8JXyfCh | 7123 |   23 | other
 YN7LUkrD | 7003 |   23 | HOP
 ewX9iymt | 7813 |   23 | other
 fTxjJNUy | 7421 |   23 | other
 nRFqM6DD | 7191 |   23 | other
 ziUYat4q | 7702 |   23 | other
 opTqnVYP | 6961 |   23 | HOP
 GukjUV88 | 7380 |   23 | COM
 UtE7Za5Z | 7563 |   23 | other
 kpQ64zcy | 7264 |   23 | ANG
 YN7LUkrD | 7003 |   23 | other
 dfvrAubd | 6909 |   23 | HOP
 msHXnGEW | 7602 |   23 | other
 FeXE5BSi | 7102 |   23 | HOP
 k9Cnfthu | 7193 |   23 | ANG
 wf7SSFiw | 6912 |   23 | other
 FAe7f58F | 6992 |   23 | NEU
 t7rLLEKZ | 7291 |   23 | other
 qgBQCq2B | 7787 |   23 | HOP
 B7FCA7Hi | 7454 |   23 | other
 yxXw7RJ2 | 6984 |   23 | other
 7F4N2svK | 6998 |   23 | COM
 N4TCAMcN | 7445 |   23 | HOP
 GT7h9GZf | 7124 |   23 | other
 8LajyjVb | 7305 |   23 | other
 g27aSAhT | 7434 |   23 | other
 RdBNuQFY | 7450 |   23 | NEU
 hgfAGed8 | 7402 |   23 | other
 UMQuzgFj | 7295 |   23 | other
 HKpfuoU9 | 7135 |   23 | ANG
 7iJ3KEpd | 7441 |   23 | other
 tBqyJqMq | 7133 |   23 | other
 r9GZt2NL | 7514 |   23 | other
 YG4HKBZj | 7336 |   23 | NEU
 BeDCvF3K | 7001 |   23 | other
 oj92wZUp | 7147 |   23 | other
 oqVfUrSS | 7744 |   23 | other
 rJPk9QH6 | 7788 |   23 | other
 8zLWysKJ | 7255 |   23 | other
 z7MpCZxY | 7390 |   23 | other
 dsf8uVif | 7196 |   23 | other
 3HSmHmz2 | 7141 |   23 | other
 nUc8CTP7 | 7046 |   23 | other
 7zcvRLd8 | 7679 |   23 | other
 Ys4YPx8D | 7261 |   23 | NEU
 Ev9JNoJD | 7772 |   23 | other
 JYiTYg9X | 7640 |   23 | NEU
 sCctdFHQ | 7042 |   23 | HOP
 P4i3GBa8 | 7206 |   23 | other
 3cuGBh6Z | 7005 |   23 | ANG
 9kgzLqYF | 7519 |   23 | COM
 4ANEa7xK | 7204 |   23 | COM
 Koh3Nfqq | 7018 |   23 | other
 NiGmhSAB | 7470 |   23 | NEU
 yvbTf7FH | 7278 |   23 | other
 QbFCaraH | 7044 |   23 | other
 MVyKPHXy | 7440 |   23 | HOP
 t8fhJRdt | 7233 |   23 | other
 MNL5Qakh | 7110 |   23 | other
 fNEi56Qv | 7513 |   23 | ANG
 BeDCvF3K | 7001 |   23 | ANG
 KWBVWXUU | 7131 |   23 | other
 UVwJSNg9 | 7241 |   23 | other
 2uKXditr | 7027 |   23 | HOP
 JFtAajDn | 7183 |   23 | ANG
 miYJ4oHh | 7554 |   23 | other
 gQWBigj9 | 7258 |   23 | ANG
 fRPah822 | 7379 |   23 | other
 XxgTpaGw | 7363 |   23 | other
 FqiGfK8C | 7607 |   23 | HOP
 mgfLkCUY | 7197 |   23 | NEU
 EGt3Ha9R | 7026 |   23 | COM
 hhRttGu2 | 6905 |   23 | HOP
 AFXYtrNA | 7061 |   23 | NEU
 C8XbL4zy | 7623 |   23 | ANG
 Bbik7at3 | 6908 |   23 | other
 C8XbL4zy | 7623 |   23 | other
 2gfUNNUi | 7239 |   23 | NEU
 pJ2coAKu | 6950 |   23 | other
 MVyKPHXy | 7440 |   23 | other
 dWtNL9iL | 7678 |   23 | ANG
 3cuGBh6Z | 7005 |   23 | other
 hgfAGed8 | 7402 |   23 | COM
 W46Wq2n4 | 6955 |   23 | other
 LY8CBf3U | 7492 |   23 | other
 UVwJSNg9 | 7241 |   23 | COM
 d8nBK7F5 | 7225 |   23 | other
 484Sb4r2 | 7149 |   23 | ANG
 HJK8TXN9 | 7303 |   23 | other
 MnisYZRN | 7348 |   23 | NEU
 JFtAajDn | 7183 |   23 | other
 oF4UqqZX | 7153 |   23 | other
 4mnkpy3p | 6937 |   23 | other
 yvbTf7FH | 7278 |   23 | HOP
 Fuh7mMJe | 7159 |   23 | other
 bqyfvVo4 | 7085 |   23 | HOP
 TzqWGuLT | 7547 |   23 | other
 q8CHMA4W | 7499 |   23 | other
 drZhcHPu | 7479 |   23 | other
 rB6ZUMHg | 7101 |   23 | other
 UiRkeGrz | 7386 |   23 | other
 RjHvjNcT | 7533 |   23 | other
 cAapZQYS | 7404 |   23 | other
 Cq9ohqXE | 7090 |   23 | HOP
 8aBKczMP | 7079 |   23 | ANG
 pknm8Vqt | 7381 |   23 | other
 it5TGNQK | 6966 |   23 | other
 wU8JaC3o | 7177 |   23 | other
 5ZT8UNyS | 7726 |   23 | HOP
 6GTNhR2R | 6996 |   23 | NEU
 Ha9RxWPt | 6940 |   23 | other
 6GsjdD6b | 6935 |   23 | HOP
 ueydfoMD | 7015 |   23 | HOP
 GNZSDtnw | 7332 |   23 | other
 Wf6FAQ7m | 7548 |   23 | NEU
 gpuWK3J4 | 7354 |   23 | other
 JqrCf8vm | 7347 |   23 | other
 jCUjxTNg | 7496 |   23 | COM
 6urjtEpe | 7247 |   23 | COM
 25ehvHrF | 6939 |   23 | other
 cDz3wDh7 | 7606 |   23 | ANG
 JBLv9MHt | 7140 |   23 | COM
 xHcQs7Yu | 7111 |   23 | other
 2Wb8XFQu | 7092 |   23 | other
 QaPusBWT | 6972 |   23 | ANG
 gRpThkP2 | 7011 |   23 | other
 J8AH2AUM | 7122 |   23 | ANG
 Ty7KSUce | 6994 |   23 | other
 DeNUfFLc | 7304 |   23 | HOP
 dfvrAubd | 6909 |   23 | other
 muHADZ6z | 7006 |   23 | other
 2EbKhBG3 | 7034 |   23 | NEU
 kWaXx7ac | 7056 |   23 | other
 CY77MTDZ | 7035 |   23 | ANG
 SNUe6Unm | 7433 |   23 | other
