 sid  |   code   | stid |   name    | ord |  val  
------+----------+------+-----------+-----+-------
 6889 | swr8dT2a |   23 | demo-2-pl |   0 | 1
 6889 | swr8dT2a |   23 | demo-2-pl |   9 | 3
 6889 | swr8dT2a |   23 | demo-2-pl |   8 | 1
 6889 | swr8dT2a |   23 | demo-2-pl |   7 | 1
 6889 | swr8dT2a |   23 | demo-2-pl |   6 | 0
 6889 | swr8dT2a |   23 | demo-2-pl |   4 | 5
 6889 | swr8dT2a |   23 | demo-2-pl |   3 | 2
 6889 | swr8dT2a |   23 | demo-2-pl |   2 | 1966
 6893 | swra76hp |   23 | demo-2-pl |   0 | 1
 6893 | swra76hp |   23 | demo-2-pl |   3 | 0
 6893 | swra76hp |   23 | demo-2-pl |   4 | 6
 6893 | swra76hp |   23 | demo-2-pl |   6 | 0
 6893 | swra76hp |   23 | demo-2-pl |   7 | 1
 6893 | swra76hp |   23 | demo-2-pl |   8 | 0
 6893 | swra76hp |   23 | demo-2-pl |   2 | 1994
 6893 | swra76hp |   23 | demo-2-pl |   9 | 5
 6895 | swrdKssk |   23 | demo-2-pl |   9 | 3
 6895 | swrdKssk |   23 | demo-2-pl |   0 | 1
 6895 | swrdKssk |   23 | demo-2-pl |   2 | 1984
 6895 | swrdKssk |   23 | demo-2-pl |   3 | 2
 6895 | swrdKssk |   23 | demo-2-pl |   4 | 4
 6895 | swrdKssk |   23 | demo-2-pl |   6 | 1
 6895 | swrdKssk |   23 | demo-2-pl |   7 | 0
 6895 | swrdKssk |   23 | demo-2-pl |   8 | 0
 6896 | swrTLZRQ |   23 | demo-2-pl |   0 | 0
 6896 | swrTLZRQ |   23 | demo-2-pl |   9 | 3
 6896 | swrTLZRQ |   23 | demo-2-pl |   8 | 0
 6896 | swrTLZRQ |   23 | demo-2-pl |   7 | 1
 6896 | swrTLZRQ |   23 | demo-2-pl |   6 | 1
 6896 | swrTLZRQ |   23 | demo-2-pl |   4 | 6
 6896 | swrTLZRQ |   23 | demo-2-pl |   3 | 3
 6896 | swrTLZRQ |   23 | demo-2-pl |   2 | 1993
 6897 | swr8Wtz7 |   23 | demo-2-pl |   9 | 4
 6897 | swr8Wtz7 |   23 | demo-2-pl |   2 | 1991
 6897 | swr8Wtz7 |   23 | demo-2-pl |   3 | 1
 6897 | swr8Wtz7 |   23 | demo-2-pl |   4 | 6
 6897 | swr8Wtz7 |   23 | demo-2-pl |   6 | 0
 6897 | swr8Wtz7 |   23 | demo-2-pl |   7 | 1
 6897 | swr8Wtz7 |   23 | demo-2-pl |   8 | 0
