 sid  | stid | category | ord | mh | fh 
------+------+----------+-----+----+----
 6903 |   23 | ANG      |   4 |  0 |  0
 6903 |   23 | ANG      |   5 |  0 |  0
 6903 |   23 | ANG      |   6 |  0 |  0
 7610 |   23 | ANG      |  11 |  0 |  0
 7610 |   23 | ANG      |  10 |  0 |  0
 7446 |   23 | ANG      |  14 |  0 |  0
 7409 |   23 | ANG      |   2 |  4 |  0
 7317 |   23 | ANG      |   7 |  0 |  0
 7394 |   23 | ANG      |   4 |  1 |  0
 7409 |   23 | ANG      |   3 |  1 |  0
 7410 |   23 | ANG      |   0 |  0 |  0
 7295 |   23 | ANG      |   9 |  1 |  0
 7459 |   23 | ANG      |   2 |  0 |  0
 7409 |   23 | ANG      |   4 |  0 |  0
 7394 |   23 | ANG      |   5 |  0 |  0
 7409 |   23 | ANG      |   5 |  2 |  0
 7317 |   23 | ANG      |   9 |  1 |  0
 7410 |   23 | ANG      |   1 |  0 |  0
 7446 |   23 | ANG      |  13 |  1 |  1
 7409 |   23 | ANG      |   6 |  1 |  0
 6897 |   23 | ANG      |  13 |  0 |  0
 7727 |   23 | ANG      |  11 |  1 |  0
 7727 |   23 | ANG      |  10 |  1 |  0
 7727 |   23 | ANG      |   9 |  2 |  0
 7727 |   23 | ANG      |   8 |  3 |  0
 7727 |   23 | ANG      |   7 |  0 |  0
 7727 |   23 | ANG      |   6 |  1 |  0
 7727 |   23 | ANG      |   5 |  0 |  0
 6951 |   23 | ANG      |   0 |  1 |  0
 6951 |   23 | ANG      |   1 |  1 |  0
 7493 |   23 | ANG      |   1 |  1 |  0
 6951 |   23 | ANG      |   2 |  1 |  0
 7394 |   23 | ANG      |   6 |  0 |  0
 6951 |   23 | ANG      |   3 |  1 |  0
 7409 |   23 | ANG      |   7 |  2 |  0
 6951 |   23 | ANG      |   4 |  1 |  0
 7459 |   23 | ANG      |   1 |  0 |  0
 6903 |   23 | ANG      |   7 |  0 |  0
 7317 |   23 | ANG      |  10 |  0 |  0
 6903 |   23 | ANG      |   8 |  0 |  0
 7493 |   23 | ANG      |   0 |  0 |  0
 6903 |   23 | ANG      |   9 |  0 |  0
 6903 |   23 | ANG      |  10 |  0 |  0
 7446 |   23 | ANG      |  12 |  1 |  0
 7394 |   23 | ANG      |   7 |  2 |  0
 6903 |   23 | ANG      |  11 |  0 |  0
 7459 |   23 | ANG      |   0 |  0 |  0
 7446 |   23 | ANG      |  11 |  2 |  0
 6903 |   23 | ANG      |  12 |  1 |  0
 7446 |   23 | ANG      |  10 |  0 |  0
 7501 |   23 | ANG      |   5 |  0 |  0
 7610 |   23 | ANG      |   9 |  0 |  0
 7446 |   23 | ANG      |   9 |  0 |  0
 7446 |   23 | ANG      |   8 |  0 |  0
 7446 |   23 | ANG      |   7 |  1 |  0
 7610 |   23 | ANG      |   8 |  1 |  0
 7610 |   23 | ANG      |   7 |  1 |  0
 7610 |   23 | ANG      |   6 |  0 |  0
 7610 |   23 | ANG      |   5 |  3 |  0
 7610 |   23 | ANG      |   4 |  0 |  0
 7610 |   23 | ANG      |   3 |  3 |  0
 7610 |   23 | ANG      |   2 |  2 |  0
 7610 |   23 | ANG      |   1 |  1 |  0
 7610 |   23 | ANG      |   0 |  5 |  0
 7446 |   23 | ANG      |   6 |  0 |  0
 7446 |   23 | ANG      |   5 |  0 |  0
 7446 |   23 | ANG      |   4 |  0 |  0
 7480 |   23 | ANG      |  14 |  0 |  0
 7317 |   23 | ANG      |  11 |  0 |  0
 7394 |   23 | ANG      |   8 |  2 |  2
 7446 |   23 | ANG      |   3 |  0 |  0
 7480 |   23 | ANG      |  13 |  1 |  0
 7494 |   23 | ANG      |  14 |  0 |  0
 7106 |   23 | ANG      |   0 |  0 |  0
 7106 |   23 | ANG      |   1 |  1 |  0
 7394 |   23 | ANG      |   9 |  0 |  2
 7394 |   23 | ANG      |  10 |  2 |  1
 7317 |   23 | ANG      |  12 |  1 |  0
 7446 |   23 | ANG      |   2 |  0 |  0
 7394 |   23 | ANG      |  11 |  1 |  0
 7480 |   23 | ANG      |  12 |  2 |  0
 7394 |   23 | ANG      |  12 |  0 |  0
 7480 |   23 | ANG      |  11 |  0 |  0
 7394 |   23 | ANG      |  13 |  1 |  0
 7480 |   23 | ANG      |  10 |  0 |  0
 7394 |   23 | ANG      |  14 |  2 |  0
 7480 |   23 | ANG      |   9 |  1 |  0
 7446 |   23 | ANG      |   1 |  0 |  2
 7480 |   23 | ANG      |   8 |  0 |  0
 7480 |   23 | ANG      |   7 |  1 |  0
 7480 |   23 | ANG      |   6 |  0 |  0
 7480 |   23 | ANG      |   5 |  0 |  0
 7449 |   23 | ANG      |   1 |  2 |  0
 7480 |   23 | ANG      |   4 |  0 |  0
 7449 |   23 | ANG      |   0 |  0 |  0
 7480 |   23 | ANG      |   3 |  0 |  0
 7480 |   23 | ANG      |   2 |  0 |  0
 7480 |   23 | ANG      |   1 |  0 |  0
 7339 |   23 | ANG      |   0 |  0 |  0
 7727 |   23 | ANG      |   4 |  1 |  0
 7446 |   23 | ANG      |   0 |  0 |  0
 7727 |   23 | ANG      |   3 |  2 |  0
 7480 |   23 | ANG      |   0 |  0 |  0
 7727 |   23 | ANG      |   2 |  1 |  0
 6903 |   23 | ANG      |  13 |  0 |  0
 7482 |   23 | ANG      |   3 |  0 |  0
 7013 |   23 | ANG      |   0 |  5 |  1
 7434 |   23 | ANG      |  14 |  0 |  0
 7434 |   23 | ANG      |  13 |  1 |  0
 7339 |   23 | ANG      |   1 |  0 |  0
 7339 |   23 | ANG      |   2 |  0 |  0
 7434 |   23 | ANG      |  12 |  1 |  0
 7110 |   23 | ANG      |   0 |  0 |  0
 7482 |   23 | ANG      |   2 |  0 |  0
 7110 |   23 | ANG      |   1 |  0 |  0
 7481 |   23 | ANG      |   9 |  1 |  0
 7110 |   23 | ANG      |   2 |  0 |  0
 7434 |   23 | ANG      |  11 |  0 |  0
 7110 |   23 | ANG      |   3 |  1 |  0
 7606 |   23 | ANG      |   4 |  1 |  0
 7482 |   23 | ANG      |   1 |  0 |  0
 7606 |   23 | ANG      |   3 |  0 |  0
 7481 |   23 | ANG      |   8 |  1 |  0
 7482 |   23 | ANG      |   0 |  0 |  0
 7606 |   23 | ANG      |   2 |  1 |  0
 7434 |   23 | ANG      |   5 |  1 |  0
 7606 |   23 | ANG      |   1 |  1 |  0
 7481 |   23 | ANG      |   7 |  0 |  0
 7434 |   23 | ANG      |   4 |  0 |  0
 6903 |   23 | ANG      |  14 |  0 |  0
 7481 |   23 | ANG      |   6 |  2 |  0
 7435 |   23 | ANG      |   7 |  0 |  0
 7481 |   23 | ANG      |   5 |  1 |  0
 6956 |   23 | ANG      |   0 |  3 |  0
 6956 |   23 | ANG      |   1 |  1 |  0
 6924 |   23 | ANG      |   0 |  0 |  0
 7317 |   23 | ANG      |   8 |  2 |  0
 7426 |   23 | ANG      |   0 |  3 |  0
 7434 |   23 | ANG      |   3 |  1 |  0
 6924 |   23 | ANG      |   1 |  1 |  0
 6924 |   23 | ANG      |   2 |  0 |  0
 7001 |   23 | ANG      |   8 |  0 |  0
 7426 |   23 | ANG      |   1 |  0 |  0
 6924 |   23 | ANG      |   3 |  1 |  0
 7435 |   23 | ANG      |   6 |  1 |  0
 7321 |   23 | ANG      |   0 |  0 |  2
 7434 |   23 | ANG      |   2 |  0 |  0
 7426 |   23 | ANG      |   2 |  0 |  0
 7654 |   23 | ANG      |   0 |  5 |  0
 7435 |   23 | ANG      |   5 |  0 |  0
 7425 |   23 | ANG      |   0 |  0 |  0
 7426 |   23 | ANG      |   3 |  0 |  0
 7481 |   23 | ANG      |   4 |  0 |  0
 6915 |   23 | ANG      |   0 |  2 |  0
 7434 |   23 | ANG      |  10 |  0 |  0
 7426 |   23 | ANG      |   4 |  1 |  0
 7425 |   23 | ANG      |   1 |  2 |  0
 7434 |   23 | ANG      |   9 |  0 |  0
 7481 |   23 | ANG      |   3 |  2 |  0
 6889 |   23 | ANG      |   7 |  2 |  0
 6889 |   23 | ANG      |   8 |  2 |  0
 6889 |   23 | ANG      |   9 |  0 |  0
 7118 |   23 | ANG      |   0 |  0 |  0
 7118 |   23 | ANG      |   1 |  0 |  0
 7118 |   23 | ANG      |   2 |  0 |  0
 7118 |   23 | ANG      |   3 |  0 |  0
 7118 |   23 | ANG      |   4 |  0 |  0
 7118 |   23 | ANG      |   5 |  0 |  0
 7317 |   23 | ANG      |  13 |  0 |  0
 7425 |   23 | ANG      |   2 |  0 |  0
 7481 |   23 | ANG      |   2 |  1 |  0
 7001 |   23 | ANG      |   9 |  0 |  0
 7481 |   23 | ANG      |   1 |  0 |  0
 7295 |   23 | ANG      |   4 |  0 |  0
 7425 |   23 | ANG      |   3 |  0 |  0
 7434 |   23 | ANG      |   8 |  0 |  0
 7481 |   23 | ANG      |   0 |  1 |  0
 6889 |   23 | ANG      |  10 |  0 |  0
 6889 |   23 | ANG      |  11 |  0 |  0
 6889 |   23 | ANG      |  12 |  0 |  0
 6889 |   23 | ANG      |  13 |  1 |  1
 6889 |   23 | ANG      |  14 |  0 |  0
 7317 |   23 | ANG      |  14 |  0 |  0
 7001 |   23 | ANG      |  10 |  0 |  0
 7727 |   23 | ANG      |   1 |  2 |  0
 7727 |   23 | ANG      |   0 |  0 |  0
 7494 |   23 | ANG      |  13 |  0 |  0
 7425 |   23 | ANG      |   4 |  0 |  0
 7434 |   23 | ANG      |   7 |  0 |  0
 7295 |   23 | ANG      |  11 |  0 |  0
 7425 |   23 | ANG      |   5 |  0 |  0
 7425 |   23 | ANG      |   6 |  0 |  0
 7606 |   23 | ANG      |   0 |  0 |  0
 7295 |   23 | ANG      |  14 |  0 |  0
 7001 |   23 | ANG      |   0 |  1 |  0
 7425 |   23 | ANG      |   7 |  0 |  0
 7366 |   23 | ANG      |   0 |  1 |  0
 6997 |   23 | ANG      |   0 |  0 |  0
 7001 |   23 | ANG      |   1 |  0 |  0
 7502 |   23 | ANG      |  14 |  0 |  0
 7425 |   23 | ANG      |   8 |  0 |  0
 7321 |   23 | ANG      |   3 |  1 |  0
 7425 |   23 | ANG      |   9 |  0 |  0
 7602 |   23 | ANG      |   2 |  0 |  0
 7602 |   23 | ANG      |   1 |  0 |  0
 7602 |   23 | ANG      |   0 |  1 |  0
