 sid  | stid | ord | mh | fh |  name   
------+------+-----+----+----+---------
 6889 |   23 |  10 |  0 |  0 | wept-pl
 6889 |   23 |  12 |  0 |  0 | wept-pl
 6889 |   23 |   8 |  2 |  0 | wept-pl
 6889 |   23 |  14 |  0 |  0 | wept-pl
 6889 |   23 |   0 |  1 |  0 | wept-pl
 6889 |   23 |   7 |  2 |  0 | wept-pl
 6889 |   23 |  11 |  0 |  0 | wept-pl
 6889 |   23 |   6 |  1 |  0 | wept-pl
 6889 |   23 |   5 |  1 |  0 | wept-pl
 6889 |   23 |   4 |  1 |  0 | wept-pl
 6889 |   23 |   3 |  1 |  0 | wept-pl
 6889 |   23 |   1 |  1 |  0 | wept-pl
 6889 |   23 |   2 |  1 |  0 | wept-pl
 6889 |   23 |   9 |  0 |  0 | wept-pl
 6889 |   23 |  13 |  1 |  1 | wept-pl
 6893 |   23 |   0 |  0 |  0 | wept-pl
 6893 |   23 |   1 |  1 |  0 | wept-pl
 6893 |   23 |   2 |  0 |  0 | wept-pl
 6893 |   23 |   3 |  0 |  0 | wept-pl
 6896 |   23 |   0 |  1 |  0 | wept-pl
 6896 |   23 |   1 |  2 |  0 | wept-pl
 6896 |   23 |   2 |  2 |  0 | wept-pl
 6896 |   23 |   3 |  2 |  0 | wept-pl
 6896 |   23 |   4 |  2 |  0 | wept-pl
 6897 |   23 |  13 |  0 |  0 | wept-pl
 6897 |   23 |   0 |  0 |  0 | wept-pl
 6897 |   23 |   1 |  0 |  0 | wept-pl
 6897 |   23 |   2 |  0 |  0 | wept-pl
 6897 |   23 |   3 |  1 |  0 | wept-pl
 6897 |   23 |   4 |  1 |  0 | wept-pl
 6897 |   23 |   5 |  1 |  0 | wept-pl
 6897 |   23 |   6 |  1 |  0 | wept-pl
 6897 |   23 |   7 |  0 |  0 | wept-pl
 6897 |   23 |   8 |  1 |  0 | wept-pl
 6897 |   23 |   9 |  1 |  0 | wept-pl
 6897 |   23 |  10 |  0 |  0 | wept-pl
 6897 |   23 |  11 |  0 |  0 | wept-pl
 6897 |   23 |  12 |  2 |  0 | wept-pl
 6897 |   23 |  14 |  0 |  0 | wept-pl
 6898 |   23 |   2 |  2 |  0 | wept-pl
 6898 |   23 |   1 |  2 |  0 | wept-pl
 6898 |   23 |   0 |  0 |  0 | wept-pl
 6898 |   23 |   5 |  0 |  0 | wept-pl
 6898 |   23 |   4 |  1 |  0 | wept-pl
 6898 |   23 |   3 |  2 |  0 | wept-pl
 6900 |   23 |   2 |  0 |  0 | wept-pl
 6900 |   23 |   3 |  1 |  0 | wept-pl
 6900 |   23 |   4 |  2 |  0 | wept-pl
 6900 |   23 |   5 |  1 |  0 | wept-pl
 6900 |   23 |   0 |  2 |  0 | wept-pl
 6900 |   23 |   1 |  0 |  0 | wept-pl
 6902 |   23 |   7 |  0 |  0 | wept-pl
 6902 |   23 |   8 |  2 |  0 | wept-pl
 6902 |   23 |   9 |  0 |  0 | wept-pl
 6902 |   23 |   4 |  0 |  0 | wept-pl
 6902 |   23 |   3 |  1 |  0 | wept-pl
 6902 |   23 |   2 |  0 |  0 | wept-pl
 6902 |   23 |   1 |  1 |  0 | wept-pl
 6902 |   23 |   0 |  0 |  2 | wept-pl
 6902 |   23 |   5 |  1 |  0 | wept-pl
 6902 |   23 |   6 |  0 |  0 | wept-pl
 6903 |   23 |   8 |  0 |  0 | wept-pl
 6903 |   23 |   0 |  0 |  0 | wept-pl
 6903 |   23 |   1 |  1 |  0 | wept-pl
 6903 |   23 |   2 |  1 |  0 | wept-pl
 6903 |   23 |   3 |  0 |  0 | wept-pl
 6903 |   23 |   4 |  0 |  0 | wept-pl
 6903 |   23 |   5 |  0 |  0 | wept-pl
 6903 |   23 |   6 |  0 |  0 | wept-pl
 6903 |   23 |   7 |  0 |  0 | wept-pl
 6903 |   23 |   9 |  0 |  0 | wept-pl
 6903 |   23 |  10 |  0 |  0 | wept-pl
 6903 |   23 |  11 |  0 |  0 | wept-pl
 6903 |   23 |  12 |  1 |  0 | wept-pl
 6903 |   23 |  13 |  0 |  0 | wept-pl
 6903 |   23 |  14 |  0 |  0 | wept-pl
 6904 |   23 |   3 |  0 |  0 | wept-pl
 6904 |   23 |   4 |  0 |  0 | wept-pl
 6904 |   23 |   5 |  0 |  0 | wept-pl
 6904 |   23 |   6 |  1 |  0 | wept-pl
 6904 |   23 |   1 |  1 |  0 | wept-pl
 6904 |   23 |   7 |  0 |  0 | wept-pl
 6904 |   23 |   8 |  1 |  0 | wept-pl
