  sid  | stid | category 
-------+------+----------
  6889 |   23 | ANG
  6891 |   23 | COM
  6893 |   23 | COM
  6895 |   23 | HOP
  6896 |   23 | NEU
  6897 |   23 | ANG
  6898 |   23 | NEU
  6899 |   23 | COM
  6900 |   23 | HOP
  6902 |   23 | NEU
  6903 |   23 | ANG
  6904 |   23 | COM
  6905 |   23 | HOP
  6906 |   23 | ANG
  6907 |   23 | COM
  6908 |   23 | COM
  6910 |   23 | NEU
  6911 |   23 | ANG
  6912 |   23 | HOP
  6913 |   23 | NEU
  6914 |   23 | ANG
  6915 |   23 | ANG
  6916 |   23 | COM
  6917 |   23 | HOP
  6918 |   23 | NEU
  6919 |   23 | COM
  6922 |   23 | NEU
  6924 |   23 | ANG
  6925 |   23 | COM
  6927 |   23 | HOP
  6928 |   23 | HOP
  6929 |   23 | NEU
  6930 |   23 | ANG
  6931 |   23 | COM
  6932 |   23 | COM
  6933 |   23 | NEU
  6934 |   23 | ANG
  6935 |   23 | HOP
  6937 |   23 | NEU
  6938 |   23 | ANG
  6939 |   23 | COM
  6940 |   23 | HOP
  6950 |   23 | NEU
  6951 |   23 | ANG
  6953 |   23 | HOP
  6954 |   23 | HOP
  6955 |   23 | NEU
  6956 |   23 | ANG
  6957 |   23 | ANG
  6958 |   23 | NEU
  6959 |   23 | COM
  6960 |   23 | COM
  6961 |   23 | HOP
  6963 |   23 | NEU
  6964 |   23 | ANG
  6965 |   23 | ANG
  6966 |   23 | COM
  6967 |   23 | COM
  6968 |   23 | NEU
  6969 |   23 | HOP
  6970 |   23 | NEU
  6972 |   23 | ANG
  6973 |   23 | HOP
  6974 |   23 | COM
  6975 |   23 | NEU
  6977 |   23 | ANG
  6978 |   23 | COM
  6979 |   23 | HOP
  6980 |   23 | NEU
  6981 |   23 | NEU
  6982 |   23 | ANG
  6983 |   23 | COM
  6984 |   23 | HOP
  6985 |   23 | ANG
  6986 |   23 | HOP
  6987 |   23 | COM
  6988 |   23 | NEU
  6989 |   23 | ANG
  6990 |   23 | COM
  6991 |   23 | HOP
  6992 |   23 | NEU
  6993 |   23 | ANG
  6994 |   23 | COM
  6995 |   23 | HOP
  6996 |   23 | NEU
  6998 |   23 | COM
  6999 |   23 | HOP
  7000 |   23 | NEU
  7001 |   23 | ANG
  7002 |   23 | COM
  7003 |   23 | HOP
  7004 |   23 | NEU
  7005 |   23 | ANG
  7006 |   23 | COM
  7007 |   23 | NEU
  7008 |   23 | HOP
  7009 |   23 | ANG
  7010 |   23 | COM
  7011 |   23 | HOP
