sid,stid,name,ord,val
6889,23,demo-2-pl,0,1
6889,23,demo-2-pl,2,1966
6889,23,demo-2-pl,3,2
6889,23,demo-2-pl,4,5
6889,23,demo-2-pl,6,0
6889,23,demo-2-pl,7,1
6889,23,demo-2-pl,8,1
6889,23,demo-2-pl,9,3
6891,23,demo-2-pl,0,1
6891,23,demo-2-pl,2,1981
6891,23,demo-2-pl,3,1
6891,23,demo-2-pl,4,4
6891,23,demo-2-pl,6,0
6891,23,demo-2-pl,7,1
6891,23,demo-2-pl,8,1
6891,23,demo-2-pl,9,4
6893,23,demo-2-pl,0,1
6893,23,demo-2-pl,2,1994
6893,23,demo-2-pl,3,0
6893,23,demo-2-pl,4,6
6893,23,demo-2-pl,6,0
6893,23,demo-2-pl,7,1
6893,23,demo-2-pl,8,0
6893,23,demo-2-pl,9,5
6895,23,demo-2-pl,0,1
6895,23,demo-2-pl,2,1984
6895,23,demo-2-pl,3,2
6895,23,demo-2-pl,4,4
6895,23,demo-2-pl,6,1
6895,23,demo-2-pl,7,0
6895,23,demo-2-pl,8,0
6895,23,demo-2-pl,9,3
6896,23,demo-2-pl,0,0
6896,23,demo-2-pl,2,1993
6896,23,demo-2-pl,3,3
6896,23,demo-2-pl,4,6
6896,23,demo-2-pl,6,1
6896,23,demo-2-pl,7,1
6896,23,demo-2-pl,8,0
6896,23,demo-2-pl,9,3
6897,23,demo-2-pl,0,0
6897,23,demo-2-pl,2,1991
6897,23,demo-2-pl,3,1
6897,23,demo-2-pl,4,6
6897,23,demo-2-pl,6,0
6897,23,demo-2-pl,7,1
6897,23,demo-2-pl,8,0
6897,23,demo-2-pl,9,4
6898,23,demo-2-pl,0,0
6898,23,demo-2-pl,2,2004
6898,23,demo-2-pl,3,0
6898,23,demo-2-pl,4,4
6898,23,demo-2-pl,6,1
6898,23,demo-2-pl,7,1
6898,23,demo-2-pl,8,0
6898,23,demo-2-pl,9,4
6899,23,demo-2-pl,0,0
6899,23,demo-2-pl,2,1986
6899,23,demo-2-pl,3,3
6899,23,demo-2-pl,4,4
6899,23,demo-2-pl,6,0
6899,23,demo-2-pl,7,0
6899,23,demo-2-pl,8,0
6899,23,demo-2-pl,9,5
6900,23,demo-2-pl,0,0
6900,23,demo-2-pl,2,2003
6900,23,demo-2-pl,3,2
6900,23,demo-2-pl,4,4
6900,23,demo-2-pl,6,1
6900,23,demo-2-pl,7,1
6900,23,demo-2-pl,8,0
6900,23,demo-2-pl,9,5
6902,23,demo-2-pl,0,1
6902,23,demo-2-pl,2,1979
6902,23,demo-2-pl,3,0
6902,23,demo-2-pl,4,6
6902,23,demo-2-pl,6,0
6902,23,demo-2-pl,7,2
6902,23,demo-2-pl,8,0
6902,23,demo-2-pl,9,5
6903,23,demo-2-pl,0,1
6903,23,demo-2-pl,2,1955
6903,23,demo-2-pl,3,2
6903,23,demo-2-pl,4,4
6903,23,demo-2-pl,6,0
6903,23,demo-2-pl,7,1
6903,23,demo-2-pl,8,0
6903,23,demo-2-pl,9,5
6904,23,demo-2-pl,0,0
6904,23,demo-2-pl,2,1987
6904,23,demo-2-pl,3,2
6904,23,demo-2-pl,4,3
6904,23,demo-2-pl,6,0
6904,23,demo-2-pl,7,2
6904,23,demo-2-pl,8,1
6904,23,demo-2-pl,9,5
6905,23,demo-2-pl,0,1
6905,23,demo-2-pl,2,1990
6905,23,demo-2-pl,3,2
6905,23,demo-2-pl,4,5
6905,23,demo-2-pl,6,1
6905,23,demo-2-pl,7,0
6905,23,demo-2-pl,8,1
6905,23,demo-2-pl,9,3
6906,23,demo-2-pl,0,1
6906,23,demo-2-pl,2,1976
6906,23,demo-2-pl,3,0
6906,23,demo-2-pl,4,6
6906,23,demo-2-pl,6,0
6906,23,demo-2-pl,7,1
6906,23,demo-2-pl,8,2
6906,23,demo-2-pl,9,3
6907,23,demo-2-pl,0,1
6907,23,demo-2-pl,2,1986
6907,23,demo-2-pl,3,4
6907,23,demo-2-pl,4,6
6907,23,demo-2-pl,6,0
6907,23,demo-2-pl,7,1
6907,23,demo-2-pl,8,1
6907,23,demo-2-pl,9,3
6908,23,demo-2-pl,0,1
6908,23,demo-2-pl,2,1988
6908,23,demo-2-pl,3,2
6908,23,demo-2-pl,4,5
6908,23,demo-2-pl,6,1
6908,23,demo-2-pl,7,2
6908,23,demo-2-pl,8,1
6908,23,demo-2-pl,9,4
6910,23,demo-2-pl,0,0
6910,23,demo-2-pl,2,1973
6910,23,demo-2-pl,3,1
6910,23,demo-2-pl,4,3
6910,23,demo-2-pl,6,0
6910,23,demo-2-pl,7,1
6910,23,demo-2-pl,8,0
6910,23,demo-2-pl,9,4
6911,23,demo-2-pl,0,1
6911,23,demo-2-pl,2,1980
6911,23,demo-2-pl,3,2
6911,23,demo-2-pl,4,4
6911,23,demo-2-pl,6,1
6911,23,demo-2-pl,7,1
6911,23,demo-2-pl,8,1
6911,23,demo-2-pl,9,4
6912,23,demo-2-pl,0,1
6912,23,demo-2-pl,2,1990
6912,23,demo-2-pl,3,3
6912,23,demo-2-pl,4,4
6912,23,demo-2-pl,6,0
6912,23,demo-2-pl,7,0
6912,23,demo-2-pl,8,0
6912,23,demo-2-pl,9,5
6913,23,demo-2-pl,0,0
6913,23,demo-2-pl,2,1981
6913,23,demo-2-pl,3,0
6913,23,demo-2-pl,4,6
6913,23,demo-2-pl,6,0
6913,23,demo-2-pl,7,1
6913,23,demo-2-pl,8,0
6913,23,demo-2-pl,9,5
6914,23,demo-2-pl,0,0
6914,23,demo-2-pl,2,2003
6914,23,demo-2-pl,3,0
6914,23,demo-2-pl,4,4
6914,23,demo-2-pl,6,1
6914,23,demo-2-pl,7,1
6914,23,demo-2-pl,8,0
6914,23,demo-2-pl,9,5
6915,23,demo-2-pl,0,1
6915,23,demo-2-pl,2,1977
6915,23,demo-2-pl,3,0
6915,23,demo-2-pl,4,4
6915,23,demo-2-pl,6,0
6915,23,demo-2-pl,7,1
6915,23,demo-2-pl,8,0
6915,23,demo-2-pl,9,5
6916,23,demo-2-pl,0,1
6916,23,demo-2-pl,2,1984
6916,23,demo-2-pl,3,2
6916,23,demo-2-pl,4,6
6916,23,demo-2-pl,6,1
6916,23,demo-2-pl,7,2
6916,23,demo-2-pl,8,1
6916,23,demo-2-pl,9,2
6917,23,demo-2-pl,0,1
6917,23,demo-2-pl,2,1959
6917,23,demo-2-pl,3,2
6917,23,demo-2-pl,4,3
6917,23,demo-2-pl,6,0
6917,23,demo-2-pl,7,1
6917,23,demo-2-pl,8,1
6917,23,demo-2-pl,9,3
6918,23,demo-2-pl,0,0
6918,23,demo-2-pl,2,1998
6918,23,demo-2-pl,3,2
6918,23,demo-2-pl,4,4
6918,23,demo-2-pl,6,1
6918,23,demo-2-pl,7,1
6918,23,demo-2-pl,8,0
6918,23,demo-2-pl,9,5
6919,23,demo-2-pl,0,1
6919,23,demo-2-pl,2,1985
6919,23,demo-2-pl,3,0
6919,23,demo-2-pl,4,6
6919,23,demo-2-pl,6,0
6919,23,demo-2-pl,7,1
6919,23,demo-2-pl,8,0
6919,23,demo-2-pl,9,5
6922,23,demo-2-pl,0,0
6922,23,demo-2-pl,2,2000
6922,23,demo-2-pl,3,3
6922,23,demo-2-pl,4,4
6922,23,demo-2-pl,6,1
6922,23,demo-2-pl,7,1
6922,23,demo-2-pl,8,0
6922,23,demo-2-pl,9,5
6924,23,demo-2-pl,0,0
6924,23,demo-2-pl,2,1988
6924,23,demo-2-pl,3,3
6924,23,demo-2-pl,4,4
6924,23,demo-2-pl,6,0
6924,23,demo-2-pl,7,1
6924,23,demo-2-pl,8,0
6924,23,demo-2-pl,9,4
6925,23,demo-2-pl,0,0
6925,23,demo-2-pl,2,1994
6925,23,demo-2-pl,3,0
6925,23,demo-2-pl,4,6
6925,23,demo-2-pl,6,1
6925,23,demo-2-pl,7,1
6925,23,demo-2-pl,8,0
6925,23,demo-2-pl,9,5
6927,23,demo-2-pl,0,0
6927,23,demo-2-pl,2,1994
6927,23,demo-2-pl,3,0
6927,23,demo-2-pl,4,6
6927,23,demo-2-pl,6,1
6927,23,demo-2-pl,7,1
6927,23,demo-2-pl,8,0
6927,23,demo-2-pl,9,5
6928,23,demo-2-pl,0,1
6928,23,demo-2-pl,2,1984
6928,23,demo-2-pl,3,1
6928,23,demo-2-pl,4,6
6928,23,demo-2-pl,6,0
6928,23,demo-2-pl,7,1
6928,23,demo-2-pl,8,0
6928,23,demo-2-pl,9,4
6929,23,demo-2-pl,0,1
6929,23,demo-2-pl,2,1984
6929,23,demo-2-pl,3,0
6929,23,demo-2-pl,4,5
6929,23,demo-2-pl,6,0
6929,23,demo-2-pl,7,2
6929,23,demo-2-pl,8,1
6929,23,demo-2-pl,9,4
6930,23,demo-2-pl,0,1
6930,23,demo-2-pl,2,1982
6930,23,demo-2-pl,3,1
6930,23,demo-2-pl,4,6
6930,23,demo-2-pl,6,0
6930,23,demo-2-pl,7,1
6930,23,demo-2-pl,8,0
6930,23,demo-2-pl,9,4
6931,23,demo-2-pl,0,1
6931,23,demo-2-pl,2,1987
