sid,stid,name,ord,val
6889,23,wept-pl,0,1
6891,23,wept-pl,0,5
6893,23,wept-pl,0,5
6895,23,wept-pl,0,0
6896,23,wept-pl,0,0
6897,23,wept-pl,0,5
6898,23,wept-pl,0,0
6899,23,wept-pl,0,0
6900,23,wept-pl,0,0
6902,23,wept-pl,0,10
6903,23,wept-pl,0,10
6904,23,wept-pl,0,5
6905,23,wept-pl,0,5
6906,23,wept-pl,0,0
6907,23,wept-pl,0,0
6908,23,wept-pl,0,2
6910,23,wept-pl,0,5
6911,23,wept-pl,0,1
6912,23,wept-pl,0,0
6913,23,wept-pl,0,10
6914,23,wept-pl,0,0
6915,23,wept-pl,0,5
6916,23,wept-pl,0,0
6917,23,wept-pl,0,0
6918,23,wept-pl,0,20
6919,23,wept-pl,0,5
6922,23,wept-pl,0,0
6924,23,wept-pl,0,5
6925,23,wept-pl,0,0
6927,23,wept-pl,0,5
6928,23,wept-pl,0,2
6929,23,wept-pl,0,1
6930,23,wept-pl,0,2
6931,23,wept-pl,0,2
6932,23,wept-pl,0,2
6933,23,wept-pl,0,5
6934,23,wept-pl,0,0
6935,23,wept-pl,0,5
6937,23,wept-pl,0,0
6938,23,wept-pl,0,5
6939,23,wept-pl,0,0
6940,23,wept-pl,0,0
6950,23,wept-pl,0,5
6951,23,wept-pl,0,5
6953,23,wept-pl,0,0
6954,23,wept-pl,0,0
6955,23,wept-pl,0,0
6956,23,wept-pl,0,2
6957,23,wept-pl,0,0
6958,23,wept-pl,0,1
6959,23,wept-pl,0,10
6960,23,wept-pl,0,0
6961,23,wept-pl,0,10
6963,23,wept-pl,0,0
6964,23,wept-pl,0,0
6965,23,wept-pl,0,0
6966,23,wept-pl,0,0
6967,23,wept-pl,0,9
6968,23,wept-pl,0,5
6969,23,wept-pl,0,0
6970,23,wept-pl,0,10
6972,23,wept-pl,0,5
6973,23,wept-pl,0,10
6974,23,wept-pl,0,0
6975,23,wept-pl,0,0
6977,23,wept-pl,0,0
6978,23,wept-pl,0,10
6979,23,wept-pl,0,0
6980,23,wept-pl,0,5
6981,23,wept-pl,0,13
6982,23,wept-pl,0,10
6983,23,wept-pl,0,0
6984,23,wept-pl,0,20
6985,23,wept-pl,0,10
6986,23,wept-pl,0,0
6987,23,wept-pl,0,1
6988,23,wept-pl,0,0
6989,23,wept-pl,0,5
6990,23,wept-pl,0,5
6991,23,wept-pl,0,2
6992,23,wept-pl,0,2
6993,23,wept-pl,0,10
6994,23,wept-pl,0,10
6995,23,wept-pl,0,0
6996,23,wept-pl,0,2
6998,23,wept-pl,0,2
6999,23,wept-pl,0,10
7000,23,wept-pl,0,0
7001,23,wept-pl,0,10
7002,23,wept-pl,0,0
7003,23,wept-pl,0,0
7004,23,wept-pl,0,10
7005,23,wept-pl,0,0
7006,23,wept-pl,0,20
7007,23,wept-pl,0,10
7008,23,wept-pl,0,1
7009,23,wept-pl,0,0
7010,23,wept-pl,0,0
7011,23,wept-pl,0,5
7012,23,wept-pl,0,10
7015,23,wept-pl,0,0
7016,23,wept-pl,0,0
7017,23,wept-pl,0,0
7018,23,wept-pl,0,1
7019,23,wept-pl,0,20
7020,23,wept-pl,0,10
7021,23,wept-pl,0,2
7022,23,wept-pl,0,5
7023,23,wept-pl,0,2
7024,23,wept-pl,0,3
7025,23,wept-pl,0,0
7026,23,wept-pl,0,0
7027,23,wept-pl,0,0
7028,23,wept-pl,0,0
7029,23,wept-pl,0,0
7030,23,wept-pl,0,0
7031,23,wept-pl,0,0
7034,23,wept-pl,0,1
7035,23,wept-pl,0,10
7036,23,wept-pl,0,5
7039,23,wept-pl,0,1
7040,23,wept-pl,0,3
7041,23,wept-pl,0,0
7042,23,wept-pl,0,2
7043,23,wept-pl,0,1
7044,23,wept-pl,0,2
7045,23,wept-pl,0,0
7046,23,wept-pl,0,0
7047,23,wept-pl,0,0
7048,23,wept-pl,0,0
7050,23,wept-pl,0,10
7051,23,wept-pl,0,0
7052,23,wept-pl,0,2
7053,23,wept-pl,0,5
7054,23,wept-pl,0,1
7055,23,wept-pl,0,10
7056,23,wept-pl,0,0
7057,23,wept-pl,0,3
7058,23,wept-pl,0,1
7059,23,wept-pl,0,2
7060,23,wept-pl,0,5
7061,23,wept-pl,0,0
7062,23,wept-pl,0,20
7063,23,wept-pl,0,2
7064,23,wept-pl,0,0
7065,23,wept-pl,0,5
7066,23,wept-pl,0,10
7067,23,wept-pl,0,5
7068,23,wept-pl,0,1
7069,23,wept-pl,0,1
7070,23,wept-pl,0,5
7072,23,wept-pl,0,0
7073,23,wept-pl,0,0
7074,23,wept-pl,0,5
7075,23,wept-pl,0,0
7076,23,wept-pl,0,6
7077,23,wept-pl,0,20
7078,23,wept-pl,0,10
7079,23,wept-pl,0,0
7081,23,wept-pl,0,5
7082,23,wept-pl,0,2
7083,23,wept-pl,0,0
7084,23,wept-pl,0,6
7085,23,wept-pl,0,1
7087,23,wept-pl,0,0
7088,23,wept-pl,0,0
7089,23,wept-pl,0,10
7090,23,wept-pl,0,5
7091,23,wept-pl,0,1
7093,23,wept-pl,0,1
7094,23,wept-pl,0,3
7095,23,wept-pl,0,10
7096,23,wept-pl,0,1
7097,23,wept-pl,0,10
7098,23,wept-pl,0,1
7100,23,wept-pl,0,10
7101,23,wept-pl,0,0
7102,23,wept-pl,0,10
7103,23,wept-pl,0,0
7105,23,wept-pl,0,0
7106,23,wept-pl,0,0
7107,23,wept-pl,0,5
7108,23,wept-pl,0,1
7109,23,wept-pl,0,15
7110,23,wept-pl,0,0
7111,23,wept-pl,0,3
7112,23,wept-pl,0,0
7113,23,wept-pl,0,0
7115,23,wept-pl,0,5
7116,23,wept-pl,0,0
7117,23,wept-pl,0,0
7118,23,wept-pl,0,0
7119,23,wept-pl,0,1
7120,23,wept-pl,0,0
7121,23,wept-pl,0,0
7122,23,wept-pl,0,5
7123,23,wept-pl,0,20
7124,23,wept-pl,0,2
7125,23,wept-pl,0,8
7126,23,wept-pl,0,0
7128,23,wept-pl,0,0
7129,23,wept-pl,0,1
7130,23,wept-pl,0,0
7131,23,wept-pl,0,0
7132,23,wept-pl,0,1
7133,23,wept-pl,0,5
7134,23,wept-pl,0,1
7135,23,wept-pl,0,0
7136,23,wept-pl,0,5
7138,23,wept-pl,0,5
7139,23,wept-pl,0,0
7140,23,wept-pl,0,5
7141,23,wept-pl,0,0
7142,23,wept-pl,0,1
7143,23,wept-pl,0,0
7144,23,wept-pl,0,1
7145,23,wept-pl,0,5
7146,23,wept-pl,0,10
7147,23,wept-pl,0,3
7148,23,wept-pl,0,0
7149,23,wept-pl,0,10
7151,23,wept-pl,0,10
7152,23,wept-pl,0,5
7153,23,wept-pl,0,2
7154,23,wept-pl,0,10
7155,23,wept-pl,0,5
7156,23,wept-pl,0,0
7158,23,wept-pl,0,0
7159,23,wept-pl,0,0
7165,23,wept-pl,0,0
7166,23,wept-pl,0,1
7168,23,wept-pl,0,5
7169,23,wept-pl,0,0
7170,23,wept-pl,0,10
7172,23,wept-pl,0,5
7173,23,wept-pl,0,0
7174,23,wept-pl,0,5
7176,23,wept-pl,0,0
7177,23,wept-pl,0,0
7178,23,wept-pl,0,1
7179,23,wept-pl,0,1
7181,23,wept-pl,0,0
7183,23,wept-pl,0,5
7185,23,wept-pl,0,1
7186,23,wept-pl,0,1
7187,23,wept-pl,0,0
7189,23,wept-pl,0,0
7190,23,wept-pl,0,0
7192,23,wept-pl,0,1
7195,23,wept-pl,0,10
7197,23,wept-pl,0,0
7198,23,wept-pl,0,5
7200,23,wept-pl,0,1
7201,23,wept-pl,0,5
7203,23,wept-pl,0,10
7204,23,wept-pl,0,10
7205,23,wept-pl,0,0
7206,23,wept-pl,0,6
7207,23,wept-pl,0,0
7209,23,wept-pl,0,0
7212,23,wept-pl,0,10
7213,23,wept-pl,0,2
7214,23,wept-pl,0,1
7217,23,wept-pl,0,0
7218,23,wept-pl,0,5
7219,23,wept-pl,0,0
7220,23,wept-pl,0,5
7221,23,wept-pl,0,0
7224,23,wept-pl,0,0
7225,23,wept-pl,0,1
