  sid  | stid |  name   | ord | val 
-------+------+---------+-----+-----
  6889 |   23 | wept-pl |   0 | 1
  6891 |   23 | wept-pl |   0 | 5
  6893 |   23 | wept-pl |   0 | 5
  6895 |   23 | wept-pl |   0 | 0
  6896 |   23 | wept-pl |   0 | 0
  6897 |   23 | wept-pl |   0 | 5
  6898 |   23 | wept-pl |   0 | 0
  6899 |   23 | wept-pl |   0 | 0
  6900 |   23 | wept-pl |   0 | 0
  6902 |   23 | wept-pl |   0 | 10
  6903 |   23 | wept-pl |   0 | 10
  6904 |   23 | wept-pl |   0 | 5
  6905 |   23 | wept-pl |   0 | 5
  6906 |   23 | wept-pl |   0 | 0
  6907 |   23 | wept-pl |   0 | 0
  6908 |   23 | wept-pl |   0 | 2
  6910 |   23 | wept-pl |   0 | 5
  6911 |   23 | wept-pl |   0 | 1
  6912 |   23 | wept-pl |   0 | 0
  6913 |   23 | wept-pl |   0 | 10
  6914 |   23 | wept-pl |   0 | 0
  6915 |   23 | wept-pl |   0 | 5
  6916 |   23 | wept-pl |   0 | 0
  6917 |   23 | wept-pl |   0 | 0
  6918 |   23 | wept-pl |   0 | 20
  6919 |   23 | wept-pl |   0 | 5
  6922 |   23 | wept-pl |   0 | 0
  6924 |   23 | wept-pl |   0 | 5
  6925 |   23 | wept-pl |   0 | 0
  6927 |   23 | wept-pl |   0 | 5
  6928 |   23 | wept-pl |   0 | 2
  6929 |   23 | wept-pl |   0 | 1
  6930 |   23 | wept-pl |   0 | 2
  6931 |   23 | wept-pl |   0 | 2
  6932 |   23 | wept-pl |   0 | 2
  6933 |   23 | wept-pl |   0 | 5
  6934 |   23 | wept-pl |   0 | 0
  6935 |   23 | wept-pl |   0 | 5
  6937 |   23 | wept-pl |   0 | 0
  6938 |   23 | wept-pl |   0 | 5
  6939 |   23 | wept-pl |   0 | 0
  6940 |   23 | wept-pl |   0 | 0
  6950 |   23 | wept-pl |   0 | 5
  6951 |   23 | wept-pl |   0 | 5
  6953 |   23 | wept-pl |   0 | 0
  6954 |   23 | wept-pl |   0 | 0
  6955 |   23 | wept-pl |   0 | 0
  6956 |   23 | wept-pl |   0 | 2
  6957 |   23 | wept-pl |   0 | 0
  6958 |   23 | wept-pl |   0 | 1
  6959 |   23 | wept-pl |   0 | 10
  6960 |   23 | wept-pl |   0 | 0
  6961 |   23 | wept-pl |   0 | 10
  6963 |   23 | wept-pl |   0 | 0
  6964 |   23 | wept-pl |   0 | 0
  6965 |   23 | wept-pl |   0 | 0
  6966 |   23 | wept-pl |   0 | 0
  6967 |   23 | wept-pl |   0 | 9
  6968 |   23 | wept-pl |   0 | 5
  6969 |   23 | wept-pl |   0 | 0
  6970 |   23 | wept-pl |   0 | 10
  6972 |   23 | wept-pl |   0 | 5
  6973 |   23 | wept-pl |   0 | 10
  6974 |   23 | wept-pl |   0 | 0
  6975 |   23 | wept-pl |   0 | 0
  6977 |   23 | wept-pl |   0 | 0
  6978 |   23 | wept-pl |   0 | 10
  6979 |   23 | wept-pl |   0 | 0
  6980 |   23 | wept-pl |   0 | 5
  6981 |   23 | wept-pl |   0 | 13
  6982 |   23 | wept-pl |   0 | 10
  6983 |   23 | wept-pl |   0 | 0
  6984 |   23 | wept-pl |   0 | 20
  6985 |   23 | wept-pl |   0 | 10
  6986 |   23 | wept-pl |   0 | 0
  6987 |   23 | wept-pl |   0 | 1
  6988 |   23 | wept-pl |   0 | 0
  6989 |   23 | wept-pl |   0 | 5
  6990 |   23 | wept-pl |   0 | 5
  6991 |   23 | wept-pl |   0 | 2
  6992 |   23 | wept-pl |   0 | 2
  6993 |   23 | wept-pl |   0 | 10
  6994 |   23 | wept-pl |   0 | 10
  6995 |   23 | wept-pl |   0 | 0
  6996 |   23 | wept-pl |   0 | 2
  6998 |   23 | wept-pl |   0 | 2
  6999 |   23 | wept-pl |   0 | 10
  7000 |   23 | wept-pl |   0 | 0
  7001 |   23 | wept-pl |   0 | 10
  7002 |   23 | wept-pl |   0 | 0
  7003 |   23 | wept-pl |   0 | 0
  7004 |   23 | wept-pl |   0 | 10
  7005 |   23 | wept-pl |   0 | 0
  7006 |   23 | wept-pl |   0 | 20
  7007 |   23 | wept-pl |   0 | 10
  7008 |   23 | wept-pl |   0 | 1
  7009 |   23 | wept-pl |   0 | 0
  7010 |   23 | wept-pl |   0 | 0
  7011 |   23 | wept-pl |   0 | 5
  7012 |   23 | wept-pl |   0 | 10
  7015 |   23 | wept-pl |   0 | 0
  7016 |   23 | wept-pl |   0 | 0
  7017 |   23 | wept-pl |   0 | 0
  7018 |   23 | wept-pl |   0 | 1
  7019 |   23 | wept-pl |   0 | 20
  7020 |   23 | wept-pl |   0 | 10
  7021 |   23 | wept-pl |   0 | 2
  7022 |   23 | wept-pl |   0 | 5
  7023 |   23 | wept-pl |   0 | 2
  7024 |   23 | wept-pl |   0 | 3
  7025 |   23 | wept-pl |   0 | 0
