sid,stid,name,ord,mh,fh
6889,23,wept-pl,0,1,0
6889,23,wept-pl,1,1,0
6889,23,wept-pl,2,1,0
6889,23,wept-pl,3,1,0
6889,23,wept-pl,4,1,0
6889,23,wept-pl,5,1,0
6889,23,wept-pl,6,1,0
6889,23,wept-pl,7,2,0
6889,23,wept-pl,8,2,0
6889,23,wept-pl,9,0,0
6889,23,wept-pl,10,0,0
6889,23,wept-pl,11,0,0
6889,23,wept-pl,12,0,0
6889,23,wept-pl,13,1,1
6889,23,wept-pl,14,0,0
6891,23,wept-pl,0,2,0
6891,23,wept-pl,1,4,0
6893,23,wept-pl,0,0,0
6893,23,wept-pl,1,1,0
6893,23,wept-pl,2,0,0
6893,23,wept-pl,3,0,0
6896,23,wept-pl,0,1,0
6896,23,wept-pl,1,2,0
6896,23,wept-pl,2,2,0
6896,23,wept-pl,3,2,0
6896,23,wept-pl,4,2,0
6897,23,wept-pl,0,0,0
6897,23,wept-pl,1,0,0
6897,23,wept-pl,2,0,0
6897,23,wept-pl,3,1,0
6897,23,wept-pl,4,1,0
6897,23,wept-pl,5,1,0
6897,23,wept-pl,6,1,0
6897,23,wept-pl,7,0,0
6897,23,wept-pl,8,1,0
6897,23,wept-pl,9,1,0
6897,23,wept-pl,10,0,0
6897,23,wept-pl,11,0,0
6897,23,wept-pl,12,2,0
6897,23,wept-pl,13,0,0
6897,23,wept-pl,14,0,0
6898,23,wept-pl,0,0,0
6898,23,wept-pl,1,2,0
6898,23,wept-pl,2,2,0
6898,23,wept-pl,3,2,0
6898,23,wept-pl,4,1,0
6898,23,wept-pl,5,0,0
6900,23,wept-pl,0,2,0
6900,23,wept-pl,1,0,0
6900,23,wept-pl,2,0,0
6900,23,wept-pl,3,1,0
6900,23,wept-pl,4,2,0
6900,23,wept-pl,5,1,0
6902,23,wept-pl,0,0,2
6902,23,wept-pl,1,1,0
6902,23,wept-pl,2,0,0
6902,23,wept-pl,3,1,0
6902,23,wept-pl,4,0,0
6902,23,wept-pl,5,1,0
6902,23,wept-pl,6,0,0
6902,23,wept-pl,7,0,0
6902,23,wept-pl,8,2,0
6902,23,wept-pl,9,0,0
6903,23,wept-pl,0,0,0
6903,23,wept-pl,1,1,0
6903,23,wept-pl,2,1,0
6903,23,wept-pl,3,0,0
6903,23,wept-pl,4,0,0
6903,23,wept-pl,5,0,0
6903,23,wept-pl,6,0,0
6903,23,wept-pl,7,0,0
6903,23,wept-pl,8,0,0
6903,23,wept-pl,9,0,0
6903,23,wept-pl,10,0,0
6903,23,wept-pl,11,0,0
6903,23,wept-pl,12,1,0
6903,23,wept-pl,13,0,0
6903,23,wept-pl,14,0,0
6904,23,wept-pl,0,0,0
6904,23,wept-pl,1,1,0
6904,23,wept-pl,2,0,0
6904,23,wept-pl,3,0,0
6904,23,wept-pl,4,0,0
