  sid  | stid |  name   | ord | opt 
-------+------+---------+-----+-----
  6889 |   23 | PCAE-pl |   0 |   3
  6889 |   23 | PCAE-pl |   1 |   2
  6889 |   23 | PCAE-pl |   2 |   2
  6889 |   23 | PCAE-pl |   3 |   2
  6889 |   23 | PD-pl   |   0 |   3
  6889 |   23 | PD-pl   |   1 |   3
  6889 |   23 | WTS-pl  |   0 |   5
  6889 |   23 | WTS-pl  |   1 |   5
  6889 |   23 | WTS-pl  |   2 |   5
  6889 |   23 | WTS-pl  |   3 |   5
  6889 |   23 | WTS-pl  |   4 |   5
  6891 |   23 | PCAE-pl |   0 |   3
  6891 |   23 | PCAE-pl |   1 |   3
  6891 |   23 | PCAE-pl |   2 |   4
  6891 |   23 | PCAE-pl |   3 |   3
  6891 |   23 | PD-pl   |   0 |   4
  6891 |   23 | PD-pl   |   1 |   4
  6891 |   23 | WTS-pl  |   0 |   5
  6891 |   23 | WTS-pl  |   1 |   2
  6891 |   23 | WTS-pl  |   2 |   6
  6891 |   23 | WTS-pl  |   3 |   6
  6891 |   23 | WTS-pl  |   4 |   4
  6893 |   23 | PCAE-pl |   0 |   4
  6893 |   23 | PCAE-pl |   1 |   3
  6893 |   23 | PCAE-pl |   2 |   4
  6893 |   23 | PCAE-pl |   3 |   3
  6893 |   23 | PD-pl   |   0 |   6
  6893 |   23 | PD-pl   |   1 |   0
  6893 |   23 | WTS-pl  |   0 |   6
  6893 |   23 | WTS-pl  |   1 |   6
  6893 |   23 | WTS-pl  |   2 |   7
  6893 |   23 | WTS-pl  |   3 |   6
  6893 |   23 | WTS-pl  |   4 |   5
  6895 |   23 | PCAE-pl |   0 |   1
  6895 |   23 | PCAE-pl |   1 |   1
  6895 |   23 | PCAE-pl |   2 |   1
  6895 |   23 | PCAE-pl |   3 |   1
  6895 |   23 | PD-pl   |   0 |   1
  6895 |   23 | PD-pl   |   1 |   3
  6895 |   23 | WTS-pl  |   0 |   4
  6895 |   23 | WTS-pl  |   1 |   4
  6895 |   23 | WTS-pl  |   2 |   4
  6895 |   23 | WTS-pl  |   3 |   4
  6895 |   23 | WTS-pl  |   4 |   4
  6896 |   23 | PCAE-pl |   0 |   2
  6896 |   23 | PCAE-pl |   1 |   2
  6896 |   23 | PCAE-pl |   2 |   3
  6896 |   23 | PCAE-pl |   3 |   3
  6896 |   23 | PD-pl   |   0 |   3
  6896 |   23 | PD-pl   |   1 |   4
  6896 |   23 | WTS-pl  |   0 |   4
  6896 |   23 | WTS-pl  |   1 |   4
  6896 |   23 | WTS-pl  |   2 |   3
  6896 |   23 | WTS-pl  |   3 |   4
  6896 |   23 | WTS-pl  |   4 |   4
  6897 |   23 | PCAE-pl |   0 |   2
  6897 |   23 | PCAE-pl |   1 |   2
  6897 |   23 | PCAE-pl |   2 |   3
  6897 |   23 | PCAE-pl |   3 |   3
  6897 |   23 | PD-pl   |   0 |   3
  6897 |   23 | PD-pl   |   1 |   1
  6897 |   23 | WTS-pl  |   0 |   6
  6897 |   23 | WTS-pl  |   1 |   7
  6897 |   23 | WTS-pl  |   2 |   6
  6897 |   23 | WTS-pl  |   3 |   5
  6897 |   23 | WTS-pl  |   4 |   4
  6898 |   23 | PCAE-pl |   0 |   4
  6898 |   23 | PCAE-pl |   1 |   3
  6898 |   23 | PCAE-pl |   2 |   4
  6898 |   23 | PCAE-pl |   3 |   4
  6898 |   23 | PD-pl   |   0 |   4
  6898 |   23 | PD-pl   |   1 |   1
  6898 |   23 | WTS-pl  |   0 |   3
  6898 |   23 | WTS-pl  |   1 |   7
  6898 |   23 | WTS-pl  |   2 |   6
  6898 |   23 | WTS-pl  |   3 |   5
  6898 |   23 | WTS-pl  |   4 |   6
  6899 |   23 | PCAE-pl |   0 |   3
  6899 |   23 | PCAE-pl |   1 |   4
  6899 |   23 | PCAE-pl |   2 |   4
  6899 |   23 | PCAE-pl |   3 |   4
  6899 |   23 | PD-pl   |   0 |   6
  6899 |   23 | PD-pl   |   1 |   6
  6899 |   23 | WTS-pl  |   0 |   8
  6899 |   23 | WTS-pl  |   1 |   8
  6899 |   23 | WTS-pl  |   2 |   8
  6899 |   23 | WTS-pl  |   3 |   6
  6899 |   23 | WTS-pl  |   4 |   6
  6900 |   23 | PCAE-pl |   0 |   4
  6900 |   23 | PCAE-pl |   1 |   4
  6900 |   23 | PCAE-pl |   2 |   4
  6900 |   23 | PCAE-pl |   3 |   4
  6900 |   23 | PD-pl   |   0 |   5
  6900 |   23 | PD-pl   |   1 |   4
  6900 |   23 | WTS-pl  |   0 |   6
  6900 |   23 | WTS-pl  |   1 |   7
  6900 |   23 | WTS-pl  |   2 |   8
  6900 |   23 | WTS-pl  |   3 |   6
  6900 |   23 | WTS-pl  |   4 |   7
  6902 |   23 | PCAE-pl |   0 |   4
  6902 |   23 | PCAE-pl |   1 |   4
  6902 |   23 | PCAE-pl |   2 |   4
  6902 |   23 | PCAE-pl |   3 |   4
  6902 |   23 | PD-pl   |   0 |   6
  6902 |   23 | PD-pl   |   1 |   0
  6902 |   23 | WTS-pl  |   0 |   7
  6902 |   23 | WTS-pl  |   1 |   8
  6902 |   23 | WTS-pl  |   2 |   8
  6902 |   23 | WTS-pl  |   3 |   7
  6902 |   23 | WTS-pl  |   4 |   7
  6903 |   23 | PCAE-pl |   0 |   3
  6903 |   23 | PCAE-pl |   1 |   3
  6903 |   23 | PCAE-pl |   2 |   4
  6903 |   23 | PCAE-pl |   3 |   4
  6903 |   23 | PD-pl   |   0 |   5
  6903 |   23 | PD-pl   |   1 |   4
  6903 |   23 | WTS-pl  |   0 |   4
  6903 |   23 | WTS-pl  |   1 |   4
  6903 |   23 | WTS-pl  |   2 |   4
  6903 |   23 | WTS-pl  |   3 |   4
  6903 |   23 | WTS-pl  |   4 |   3
  6904 |   23 | PCAE-pl |   0 |   3
  6904 |   23 | PCAE-pl |   1 |   3
  6904 |   23 | PCAE-pl |   2 |   4
  6904 |   23 | PCAE-pl |   3 |   4
  6904 |   23 | PD-pl   |   0 |   3
  6904 |   23 | PD-pl   |   1 |   2
  6904 |   23 | WTS-pl  |   0 |   5
  6904 |   23 | WTS-pl  |   1 |   4
  6904 |   23 | WTS-pl  |   2 |   5
  6904 |   23 | WTS-pl  |   3 |   4
  6904 |   23 | WTS-pl  |   4 |   4
  6905 |   23 | PCAE-pl |   0 |   2
  6905 |   23 | PCAE-pl |   1 |   2
  6905 |   23 | PCAE-pl |   2 |   3
  6905 |   23 | PCAE-pl |   3 |   3
  6905 |   23 | PD-pl   |   0 |   4
  6905 |   23 | PD-pl   |   1 |   2
  6905 |   23 | WTS-pl  |   0 |   2
  6905 |   23 | WTS-pl  |   1 |   3
  6905 |   23 | WTS-pl  |   2 |   4
  6905 |   23 | WTS-pl  |   3 |   4
  6905 |   23 | WTS-pl  |   4 |   5
  6906 |   23 | PCAE-pl |   0 |   2
  6906 |   23 | PCAE-pl |   1 |   3
  6906 |   23 | PCAE-pl |   2 |   2
  6906 |   23 | PCAE-pl |   3 |   3
  6906 |   23 | PD-pl   |   0 |   2
  6906 |   23 | PD-pl   |   1 |   4
  6906 |   23 | WTS-pl  |   0 |   3
  6906 |   23 | WTS-pl  |   1 |   3
  6906 |   23 | WTS-pl  |   2 |   4
  6906 |   23 | WTS-pl  |   3 |   5
  6906 |   23 | WTS-pl  |   4 |   4
  6907 |   23 | PCAE-pl |   0 |   3
  6907 |   23 | PCAE-pl |   1 |   3
  6907 |   23 | PCAE-pl |   2 |   3
  6907 |   23 | PCAE-pl |   3 |   3
  6907 |   23 | PD-pl   |   0 |   4
  6907 |   23 | PD-pl   |   1 |   4
  6907 |   23 | WTS-pl  |   0 |   4
  6907 |   23 | WTS-pl  |   1 |   6
  6907 |   23 | WTS-pl  |   2 |   6
  6907 |   23 | WTS-pl  |   3 |   6
  6907 |   23 | WTS-pl  |   4 |   5
  6908 |   23 | PCAE-pl |   0 |   2
  6908 |   23 | PCAE-pl |   1 |   2
  6908 |   23 | PCAE-pl |   2 |   3
  6908 |   23 | PCAE-pl |   3 |   2
  6908 |   23 | PD-pl   |   0 |   3
  6908 |   23 | PD-pl   |   1 |   3
  6908 |   23 | WTS-pl  |   0 |   3
  6908 |   23 | WTS-pl  |   1 |   3
  6908 |   23 | WTS-pl  |   2 |   4
  6908 |   23 | WTS-pl  |   3 |   4
  6908 |   23 | WTS-pl  |   4 |   4
  6910 |   23 | PCAE-pl |   0 |   4
  6910 |   23 | PCAE-pl |   1 |   4
  6910 |   23 | PCAE-pl |   2 |   4
  6910 |   23 | PCAE-pl |   3 |   4
  6910 |   23 | PD-pl   |   0 |   3
  6910 |   23 | PD-pl   |   1 |   0
  6910 |   23 | WTS-pl  |   0 |   4
  6910 |   23 | WTS-pl  |   1 |   6
  6910 |   23 | WTS-pl  |   2 |   8
  6910 |   23 | WTS-pl  |   3 |   4
  6910 |   23 | WTS-pl  |   4 |   5
  6911 |   23 | PCAE-pl |   0 |   2
  6911 |   23 | PCAE-pl |   1 |   3
  6911 |   23 | PCAE-pl |   2 |   4
  6911 |   23 | PCAE-pl |   3 |   3
  6911 |   23 | PD-pl   |   0 |   6
  6911 |   23 | PD-pl   |   1 |   4
  6911 |   23 | WTS-pl  |   0 |   6
  6911 |   23 | WTS-pl  |   1 |   7
  6911 |   23 | WTS-pl  |   2 |   7
  6911 |   23 | WTS-pl  |   3 |   5
  6911 |   23 | WTS-pl  |   4 |   6
  6912 |   23 | PCAE-pl |   0 |   4
  6912 |   23 | PCAE-pl |   1 |   4
  6912 |   23 | PCAE-pl |   2 |   4
  6912 |   23 | PCAE-pl |   3 |   4
  6912 |   23 | PD-pl   |   0 |   6
  6912 |   23 | PD-pl   |   1 |   6
  6912 |   23 | WTS-pl  |   0 |   8
  6912 |   23 | WTS-pl  |   1 |   5
  6912 |   23 | WTS-pl  |   2 |   6
  6912 |   23 | WTS-pl  |   3 |   8
  6912 |   23 | WTS-pl  |   4 |   6
  6913 |   23 | PCAE-pl |   0 |   3
  6913 |   23 | PCAE-pl |   1 |   3
  6913 |   23 | PCAE-pl |   2 |   2
  6913 |   23 | PCAE-pl |   3 |   4
  6913 |   23 | PD-pl   |   0 |   5
  6913 |   23 | PD-pl   |   1 |   1
  6913 |   23 | WTS-pl  |   0 |   8
  6913 |   23 | WTS-pl  |   1 |   6
  6913 |   23 | WTS-pl  |   2 |   8
  6913 |   23 | WTS-pl  |   3 |   7
  6913 |   23 | WTS-pl  |   4 |   7
  6914 |   23 | PCAE-pl |   0 |   4
  6914 |   23 | PCAE-pl |   1 |   4
  6914 |   23 | PCAE-pl |   2 |   4
  6914 |   23 | PCAE-pl |   3 |   4
  6914 |   23 | PD-pl   |   0 |   6
  6914 |   23 | PD-pl   |   1 |   0
  6914 |   23 | WTS-pl  |   0 |   8
  6914 |   23 | WTS-pl  |   1 |   8
  6914 |   23 | WTS-pl  |   2 |   8
  6914 |   23 | WTS-pl  |   3 |   8
  6914 |   23 | WTS-pl  |   4 |   8
  6915 |   23 | PCAE-pl |   0 |   4
  6915 |   23 | PCAE-pl |   1 |   3
  6915 |   23 | PCAE-pl |   2 |   4
  6915 |   23 | PCAE-pl |   3 |   3
  6915 |   23 | PD-pl   |   0 |   5
  6915 |   23 | PD-pl   |   1 |   0
  6915 |   23 | WTS-pl  |   0 |   4
  6915 |   23 | WTS-pl  |   1 |   6
  6915 |   23 | WTS-pl  |   2 |   7
  6915 |   23 | WTS-pl  |   3 |   4
  6915 |   23 | WTS-pl  |   4 |   6
  6916 |   23 | PCAE-pl |   0 |   2
  6916 |   23 | PCAE-pl |   1 |   2
  6916 |   23 | PCAE-pl |   2 |   3
  6916 |   23 | PCAE-pl |   3 |   2
  6916 |   23 | PD-pl   |   0 |   3
  6916 |   23 | PD-pl   |   1 |   5
  6916 |   23 | WTS-pl  |   0 |   2
  6916 |   23 | WTS-pl  |   1 |   2
  6916 |   23 | WTS-pl  |   2 |   2
  6916 |   23 | WTS-pl  |   3 |   2
  6916 |   23 | WTS-pl  |   4 |   2
  6917 |   23 | PCAE-pl |   0 |   3
