  sid  | stid |   name    |  reading   | evaluation 
-------+------+-----------+------------+------------
  6889 |   23 | rateus-pl |    6443.22 |      12507
  6891 |   23 | rateus-pl |    2485.33 |      35698
  6893 |   23 | rateus-pl |   11428.00 |      34192
  6895 |   23 | rateus-pl |    1716.67 |      13169
  6896 |   23 | rateus-pl |   10974.56 |      29047
  6897 |   23 | rateus-pl |    8373.00 |      23297
  6898 |   23 | rateus-pl |  119853.78 |      35602
  6899 |   23 | rateus-pl |    2642.67 |      16366
  6900 |   23 | rateus-pl |   12904.89 |      29923
  6902 |   23 | rateus-pl |   14226.78 |      27527
  6903 |   23 | rateus-pl |    9345.78 |      57808
  6904 |   23 | rateus-pl |   15934.78 |      32284
  6905 |   23 | rateus-pl |   17624.67 |      50137
  6906 |   23 | rateus-pl |   21331.00 |      35233
  6907 |   23 | rateus-pl |     983.00 |      34809
  6908 |   23 | rateus-pl |    8230.44 |      11757
  6910 |   23 | rateus-pl |   18779.00 |      20609
  6911 |   23 | rateus-pl |    2654.22 |      17799
  6912 |   23 | rateus-pl |    3358.33 |       7946
  6913 |   23 | rateus-pl |    9882.33 |      14486
  6914 |   23 | rateus-pl |   15916.89 |      68794
  6915 |   23 | rateus-pl |   11319.67 |      23143
  6916 |   23 | rateus-pl |   13289.67 |      19439
  6917 |   23 | rateus-pl |    4632.78 |      42226
  6918 |   23 | rateus-pl |    8965.56 |      17186
  6919 |   23 | rateus-pl |   12423.22 |      18939
  6922 |   23 | rateus-pl |   12156.67 |      64830
  6924 |   23 | rateus-pl |   23306.00 |      24618
  6925 |   23 | rateus-pl |     900.22 |      12108
  6927 |   23 | rateus-pl |   14045.78 |      26221
  6928 |   23 | rateus-pl |   17258.78 |      20953
  6929 |   23 | rateus-pl |   10459.00 |      31553
  6930 |   23 | rateus-pl |   11059.22 |      28006
  6931 |   23 | rateus-pl |   17501.33 |      48270
  6932 |   23 | rateus-pl |   10116.44 |      27412
  6933 |   23 | rateus-pl |   16369.11 |      44299
  6934 |   23 | rateus-pl |    7075.33 |      30289
  6935 |   23 | rateus-pl |   12568.22 |      21736
  6937 |   23 | rateus-pl |    4238.00 |      24732
  6938 |   23 | rateus-pl |   16134.67 |      27678
  6939 |   23 | rateus-pl |   36478.89 |      41379
  6940 |   23 | rateus-pl |    1916.56 |      44326
  6950 |   23 | rateus-pl |   10613.33 |      19192
  6951 |   23 | rateus-pl |   23977.11 |      21694
  6953 |   23 | rateus-pl |    1144.44 |    1991125
  6954 |   23 | rateus-pl |   16607.22 |      32326
  6955 |   23 | rateus-pl |    9533.11 |      25248
  6956 |   23 | rateus-pl |    8890.56 |      33960
  6957 |   23 | rateus-pl |    8201.22 |      30213
  6958 |   23 | rateus-pl |    4523.56 |      22268
  6959 |   23 | rateus-pl |   12852.67 |      44352
  6960 |   23 | rateus-pl |   19101.11 |      43482
  6961 |   23 | rateus-pl |   14039.67 |      29960
  6963 |   23 | rateus-pl |   13693.67 |      46603
  6964 |   23 | rateus-pl |   24848.22 |      38033
  6965 |   23 | rateus-pl |   11569.00 |      32298
  6966 |   23 | rateus-pl |   11293.33 |      28776
  6967 |   23 | rateus-pl |   13620.11 |      22496
  6968 |   23 | rateus-pl |    8978.67 |      16537
  6969 |   23 | rateus-pl |    2634.44 |      21080
  6970 |   23 | rateus-pl |    5468.33 |      11994
  6972 |   23 | rateus-pl |   11649.22 |      41163
  6973 |   23 | rateus-pl |   17901.89 |      58099
  6974 |   23 | rateus-pl |   17661.11 |      32406
  6975 |   23 | rateus-pl |   13319.89 |      44581
  6977 |   23 | rateus-pl |   12067.11 |      38147
  6978 |   23 | rateus-pl |   18844.89 |      82902
  6979 |   23 | rateus-pl |    4059.11 |      25277
  6980 |   23 | rateus-pl |   13945.00 |      59152
  6981 |   23 | rateus-pl |   12470.78 |     167532
  6982 |   23 | rateus-pl |   14843.44 |      31060
  6983 |   23 | rateus-pl |    9004.67 |      24874
  6984 |   23 | rateus-pl |   25144.22 |      26616
  6985 |   23 | rateus-pl |   94098.89 |      62028
  6986 |   23 | rateus-pl |   14154.89 |      11867
  6987 |   23 | rateus-pl |   14859.56 |      42564
  6988 |   23 | rateus-pl |   27037.33 |      18777
  6989 |   23 | rateus-pl |    7970.78 |      12073
  6990 |   23 | rateus-pl |   14032.67 |      28662
  6991 |   23 | rateus-pl |    7300.33 |      15591
  6992 |   23 | rateus-pl |   19952.11 |      49161
  6993 |   23 | rateus-pl |   12215.56 |      44324
  6994 |   23 | rateus-pl |    5612.56 |      70191
  6995 |   23 | rateus-pl |    8216.22 |      12200
  6996 |   23 | rateus-pl |    8909.00 |      24886
  6998 |   23 | rateus-pl |   10322.44 |      24050
  6999 |   23 | rateus-pl |   13583.11 |      66728
  7000 |   23 | rateus-pl |   14598.56 |      26360
  7001 |   23 | rateus-pl |   15155.89 |      35802
  7002 |   23 | rateus-pl |   16220.00 |      43391
  7003 |   23 | rateus-pl |    8460.44 |      36010
  7004 |   23 | rateus-pl |    8415.33 |      15603
  7005 |   23 | rateus-pl |    5856.67 |      16861
  7006 |   23 | rateus-pl |   11049.44 |      35922
  7007 |   23 | rateus-pl |   34812.44 |      15349
  7008 |   23 | rateus-pl |    6721.56 |      13841
  7009 |   23 | rateus-pl |   14096.78 |      31432
  7010 |   23 | rateus-pl |   18218.33 |      37574
  7011 |   23 | rateus-pl |   12137.11 |     140378
  7012 |   23 | rateus-pl |    8550.00 |      15905
  7015 |   23 | rateus-pl |    9527.44 |      30202
  7016 |   23 | rateus-pl |   17458.33 |      54013
  7017 |   23 | rateus-pl |   17425.56 |      46441
  7018 |   23 | rateus-pl |   19389.44 |      31557
  7019 |   23 | rateus-pl |   13643.67 |      38011
  7020 |   23 | rateus-pl |   10220.11 |      18206
  7021 |   23 | rateus-pl |    8311.44 |      12306
  7022 |   23 | rateus-pl |    3213.56 |      18790
  7023 |   23 | rateus-pl |    8219.11 |      26803
  7024 |   23 | rateus-pl |   13643.33 |      77963
  7025 |   23 | rateus-pl |    1858.89 |      16303
  7026 |   23 | rateus-pl |   18697.00 |      34096
  7027 |   23 | rateus-pl |   18490.00 |      35010
  7028 |   23 | rateus-pl |   18143.00 |      30743
  7029 |   23 | rateus-pl |   41118.67 |      32297
  7030 |   23 | rateus-pl |   18176.67 |      60254
  7031 |   23 | rateus-pl |    1727.33 |      18964
  7034 |   23 | rateus-pl |   27367.22 |      38966
